GM,35440
ZM,30205
PW,39788
EE,11679
IR,21978
IE,15959
KY,21986
IM,30461
KN,32668
US,22245
BB,37846
EE,35492
CC,48054
CZ,26309
LC,31386
CI,19868
AD,20979
ES,38598
NU,26231
TR,32898
GR,16182
AG,33987
JP,29286
BR,11883
IR,11295
BN,37660
CM,44583
JO,41771
HR,19884
CL,16616
BM,15234
BH,49097
CA,33471
CU,41904
NE,44089
ER,15052
IS,37963
SA,35317
BV,10599
GM,27696
GF,42198
NE,17451
NE,24364
SA,45266
GW,12207
SK,16808
PF,45813
GP,11870
TH,27655
PA,23751
NG,44224
DJ,35337
AO,25046
BI,35932
GD,37171
GQ,47134
PR,13418
AQ,44854
AQ,37607
SE,15684
SY,14977
PN,13875
IM,37356
TN,22171
OM,44048
IM,20564
MO,19977
GI,45411
AR,36972
GE,19874
VA,47947
NR,42462
CR,48754
AR,17121
CX,26651
CN,39712
ET,18228
PS,21171
NL,30213
SK,26425
HK,46253
PK,39742
IO,46468
HR,42926
TM,44296
DE,39601
PG,26274
LV,30135
IE,23922
JO,16274
HM,44592
LY,35427
DO,26925
CK,48274
HR,44052
AF,19262
FI,19510
KI,20770
IS,17269
TD,39294
TO,20606
BB,40374
NU,36931
BV,47810
BB,23990
BH,28932
UZ,37140
UM,32506
BG,12662
CK,16682
US,48256
UY,22739
AF,12447
JE,20376
NO,15347
AF,34077
AQ,13724
LV,13842
ET,19372
SK,32533
TF,37880
NR,39187
TJ,19199
EG,40972
CO,28456
HR,10944
HN,32901
MW,23701
UA,35197
HU,41618
CZ,42765
DE,20678
NG,27054
AT,46708
NG,30429
VU,17499
LR,23775
PS,31237
VU,29065
PY,27100
BY,13405
HR,35095
PR,17855
AI,40752
RE,21575
KH,16078
GS,38342
GS,22178
NR,17277
CY,24488
AN,38298
NP,42165
DO,31398
ZA,20404
KH,30060
MD,14546
BS,44043
CY,26405
GF,23232
SY,30710
CZ,24737
VU,12502
GD,16606
LU,34800
JP,40142
SC,25219
TJ,41693
GP,38937
CD,16452
LY,17118
ID,48777
QA,29855
GB,19447
NO,25175
NA,19535
SM,20784
BR,25741
LI,31601
FO,23569
CA,36487
MN,17401
PG,34209
GW,16127
UG,34739
MX,14736
CV,35727
DK,27418
AO,15785
KN,26188
CC,19700
OM,11088
CC,21320
AQ,27307
MX,41290
LI,29240
CR,24464
DK,20941
QA,37379
GP,34973
GE,29560
EE,27981
PR,40251
KE,13606
NA,23300
AE,24712
AF,32817
VC,27663
EE,28443
BA,49415
MA,30274
JE,13417
BM,28061
WF,15511
AL,32303
DJ,40036
IS,14135
LU,14501
HK,16400
AO,18323
EG,11002
TV,42498
TW,18317
FR,23930
IQ,19723
AT,10526
NI,23852
IE,26234
DE,27906
TN,34257
BA,42254
EH,17393
IE,37051
DO,33650
SE,34211
KH,11870
FM,10493
DM,43700
RO,49474
AI,46823
KW,33145
AO,21031
NI,45636
CZ,19630
AL,21570
UZ,46548
TM,21449
LK,34648
BM,41045
CG,45405
ZM,11867
AW,43364
BN,26622
TJ,33418
SR,17116
PY,48209
NZ,49901
RE,31815
IM,41578
GR,11420
AO,31838
SI,32922
NP,32544
AZ,15561
PT,29747
BT,39139
FO,31950
TV,35923
GP,44746
YT,24817
MZ,25998
MK,32251
HT,44741
KY,27304
SC,34844
BZ,32457
AX,46480
BN,13340
BT,32821
AO,43487
SG,49030
GM,26264
MM,47318
VE,49180
FK,38148
SR,10072
CU,15825
BD,43241
PW,12346
FR,30414
IS,27394
PY,18826
VN,21572
WF,27334
PL,21940
PT,21854
KI,10656
FM,31935
CK,17881
TV,18349
UZ,35777
ZM,39076
YT,48387
IS,10943
SG,23190
MS,20416
HN,17209
IS,22031
SB,36714
NL,29481
FI,21558
RU,36529
AT,28671
NR,29440
GQ,33079
VA,36913
JP,25694
RW,11178
BZ,43243
AD,19569
SY,48524
HR,38118
KM,32690
CN,25302
PA,18548
VG,38726
NO,47313
JM,36363
AE,42527
YE,31158
SE,39880
BT,33251
TD,37207
GM,26159
ID,25302
BT,23628
BE,45491
BO,42359
SC,30931
CH,14287
LU,45498
GT,34910
GF,28092
UA,35267
RE,11398
UA,12532
BG,49842
MD,27139
TH,38360
HU,33656
TC,47973
BI,15793
FR,49447
TT,15351
VN,32219
IO,35268
PF,48138
JE,27759
IS,31190
NE,28192
UM,44609
CL,43489
WF,27342
NC,38067
UG,23308
PN,28829
BM,46669
AI,34147
BR,20511
LR,23487
GM,18754
TM,21962
CC,21196
MQ,10650
RW,45733
JM,29278
CC,17383
BF,49741
KR,19640
LC,18046
SL,33848
NU,43488
IL,25776
NZ,19935
PF,34792
GW,25979
ER,26718
SM,19124
EC,42145
GF,27067
AM,33434
GL,11759
MD,40083
SZ,45440
KH,33950
MD,35428
IM,23870
SY,27621
TW,35937
PG,37513
GW,44136
RE,49382
LY,44435
NA,31970
GN,20532
MD,23010
PA,42916
CZ,26077
CD,25072
GR,33134
IL,37942
FM,26612
VN,14904
GD,24915
GE,36009
KH,28005
CO,35505
AM,19518
RW,35608
LB,44527
ZW,35376
GL,10150
GU,30000
GL,31044
PA,15801
PS,31863
BA,36485
SI,25536
LI,34536
PT,33221
KP,45604
KH,39370
PE,47347
BE,48469
AR,33476
SA,27393
SL,35657
KE,40554
DO,17354
LV,10076
TO,33336
JO,29931
MW,14563
NF,29273
JP,41900
BM,16456
FR,37083
SZ,22606
TD,22443
US,11554
CI,46647
PR,21114
MU,21487
IS,45036
PA,44405
LR,34459
RW,37634
SR,26087
TL,31520
LT,32592
TD,13220
TG,38853
PS,46601
NA,32262
SK,44489
EE,22685
LA,30080
YT,13153
CU,36190
UY,37821
PN,23680
SC,21032
AS,18163
GI,28784
MD,20800
MC,34594
SG,26715
KP,37201
GP,47319
HR,35126
HT,31259
BV,34376
TM,38291
LY,34897
DO,37924
FR,15370
LK,42159
GF,13130
FK,29142
BY,30337
TJ,28976
IR,35434
AD,33304
CN,23831
FK,14090
PF,25973
MH,38800
LB,34517
ZA,39080
AR,13081
IR,28535
SK,38154
LS,13450
TJ,30912
FK,41469
AU,36651
DM,30045
SR,37921
KI,20564
UG,23759
TH,16950
ST,32191
UG,34021
IN,35121
QA,29692
MV,10812
CA,10877
GN,20771
YE,14345
MA,46280
MY,23522
ET,19400
RO,24674
SJ,33091
MP,18400
KZ,33162
MT,45692
SM,36148
EE,14129
ST,19815
DO,10057
KZ,45693
MY,31741
BD,10490
FJ,37302
IT,34222
IS,42189
CM,22940
AU,36790
MN,46284
BF,49207
WF,16554
HM,17961
GN,23853
LR,34914
NF,30695
GA,12066
CC,45907
CN,42623
GM,26229
AF,13701
KI,18826
RE,19010
LI,27313
ET,37549
BI,34454
FK,29889
SD,45998
SN,31292
JO,21719
KN,24668
TG,42862
GR,13114
HR,24490
KZ,12783
MP,37765
SM,43966
BJ,40466
NG,41051
SL,17017
IR,34548
BH,27931
BZ,32366
PT,19381
HU,43205
WS,28555
EE,15208
AF,16558
TZ,20037
FO,47608
MP,39147
PW,29736
LV,46361
DK,16049
IR,12000
NC,48818
GG,23133
TV,20843
GG,25518
BG,45368
BM,18837
LV,44738
NZ,17974
MZ,20168
WF,37056
SN,44723
IN,15947
YE,43764
ES,40805
NE,48344
TN,44044
IE,16100
YE,12439
LV,29978
NA,46813
NG,46350
CF,35824
RO,34840
JM,27643
BV,34773
SD,27503
AQ,20906
MO,37990
IO,10877
AZ,38710
CU,21081
JE,47409
LK,42181
AU,34993
BA,46514
CN,24786
BB,24510
KY,21716
BD,31063
MZ,42423
GN,17596
VI,42863
AG,16295
AW,17206
PE,25162
AS,30994
KG,16696
EE,44772
PY,24465
DK,19545
TT,33295
JO,32897
HK,15901
FR,27098
KN,11717
MS,48784
MD,25234
IM,34735
LY,11141
ZW,22831
GB,23790
GS,16793
GW,39274
TW,23236
BE,27489
MA,20517
LR,11781
CF,42802
DK,24271
CR,15263
IR,34776
PM,16877
FJ,48521
PR,48808
MO,10452
ES,22049
AS,21425
MZ,16315
MC,22896
AL,49153
SD,12823
TF,28838
TR,49733
IR,47450
GQ,15742
HN,35713
MU,11389
MP,47230
TT,38427
PE,11721
RU,36105
MQ,49959
KI,22144
PY,44739
MM,32022
UZ,34823
DE,41816
IM,33335
CS,23148
NI,11349
PN,11737
KZ,24364
MC,33768
WF,46004
AN,12688
EH,21449
NF,40861
EC,42268
GN,13706
FM,14632
BE,47082
MO,11447
BJ,15865
LS,36231
CX,15440
TR,29145
CH,37148
TH,36608
EC,47348
NF,26520
SR,28700
MG,15775
NL,25624
CH,34119
VE,26799
FR,24081
MM,46417
CI,35842
IL,17907
NR,44983
LU,25314
BV,24425
FM,26324
CK,34712
GB,26281
GM,45923
